======================================================================
         RELATÓRIO DE CORREÇÃO SCHEMA.ORG (BREADCRUMBS)               
======================================================================

Total de arquivos corrigidos: 1188
Total de arquivos intactos/corretos: 350

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[CORRIGIDO] .\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] nl\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] pl\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] pl\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] pl\apache.html | Atributo 'item' injetado.
[CORRIGIDO] pl\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] pl\asa.html | Atributo 'item' injetado.
[CORRIGIDO] pl\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] pl\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] pl\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] pl\berg.html | Atributo 'item' injetado.
[CORRIGIDO] pl\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] pl\bps.html | Atributo 'item' injetado.
[CORRIGIDO] pl\braden.html | Atributo 'item' injetado.
[CORRIGIDO] pl\calculadoravacina.html | Atributo 'item' injetado.
[CORRIGIDO] pl\cam.html | Atributo 'item' injetado.
[CORRIGIDO] pl\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] pl\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] pl\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] pl\cries.html | Atributo 'item' injetado.
[CORRIGIDO] pl\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] pl\downes.html | Atributo 'item' injetado.
[CORRIGIDO] pl\downton.html | Atributo 'item' injetado.
[CORRIGIDO] pl\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] pl\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] pl\fast.html | Atributo 'item' injetado.
[CORRIGIDO] pl\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] pl\four.html | Atributo 'item' injetado.
[CORRIGIDO] pl\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] pl\gds.html | Atributo 'item' injetado.
[CORRIGIDO] pl\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] pl\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] pl\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] pl\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] pl\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] pl\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] pl\imc.html | Atributo 'item' injetado.
[CORRIGIDO] pl\johns.html | Atributo 'item' injetado.
[CORRIGIDO] pl\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] pl\katz.html | Atributo 'item' injetado.
[CORRIGIDO] pl\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] pl\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] pl\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] pl\lista-de-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] pl\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] pl\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] pl\meem.html | Atributo 'item' injetado.
[CORRIGIDO] pl\meows.html | Atributo 'item' injetado.
[CORRIGIDO] pl\morse.html | Atributo 'item' injetado.
[CORRIGIDO] pl\news.html | Atributo 'item' injetado.
[CORRIGIDO] pl\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] pl\nips.html | Atributo 'item' injetado.
[CORRIGIDO] pl\norton.html | Atributo 'item' injetado.
[CORRIGIDO] pl\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] pl\painad.html | Atributo 'item' injetado.
[CORRIGIDO] pl\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] pl\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] pl\pews.html | Atributo 'item' injetado.
[CORRIGIDO] pl\prism.html | Atributo 'item' injetado.
[CORRIGIDO] pl\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] pl\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] pl\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] pl\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] pl\saps.html | Atributo 'item' injetado.
[CORRIGIDO] pl\sinan.html | Atributo 'item' injetado.
[CORRIGIDO] pl\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] pl\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] pl\vagasdeemprego.html | Atributo 'item' injetado.
[CORRIGIDO] pl\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] pl\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] sv\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] sv\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] sv\apache.html | Atributo 'item' injetado.
[CORRIGIDO] sv\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] sv\asa.html | Atributo 'item' injetado.
[CORRIGIDO] sv\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] sv\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] sv\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] sv\berg.html | Atributo 'item' injetado.
[CORRIGIDO] sv\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] sv\bps.html | Atributo 'item' injetado.
[CORRIGIDO] sv\braden.html | Atributo 'item' injetado.
[CORRIGIDO] sv\calculadoravacina.html | Atributo 'item' injetado.
[CORRIGIDO] sv\cam.html | Atributo 'item' injetado.
[CORRIGIDO] sv\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] sv\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] sv\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] sv\cries.html | Atributo 'item' injetado.
[CORRIGIDO] sv\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] sv\downes.html | Atributo 'item' injetado.
[CORRIGIDO] sv\downton.html | Atributo 'item' injetado.
[CORRIGIDO] sv\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] sv\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] sv\fast.html | Atributo 'item' injetado.
[CORRIGIDO] sv\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] sv\four.html | Atributo 'item' injetado.
[CORRIGIDO] sv\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] sv\gds.html | Atributo 'item' injetado.
[CORRIGIDO] sv\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] sv\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] sv\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] sv\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] sv\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] sv\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] sv\imc.html | Atributo 'item' injetado.
[CORRIGIDO] sv\johns.html | Atributo 'item' injetado.
[CORRIGIDO] sv\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] sv\katz.html | Atributo 'item' injetado.
[CORRIGIDO] sv\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] sv\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] sv\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] sv\lista-de-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] sv\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] sv\meem.html | Atributo 'item' injetado.
[CORRIGIDO] sv\meows.html | Atributo 'item' injetado.
[CORRIGIDO] sv\morse.html | Atributo 'item' injetado.
[CORRIGIDO] sv\news.html | Atributo 'item' injetado.
[CORRIGIDO] sv\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] sv\nips.html | Atributo 'item' injetado.
[CORRIGIDO] sv\norton.html | Atributo 'item' injetado.
[CORRIGIDO] sv\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] sv\painad.html | Atributo 'item' injetado.
[CORRIGIDO] sv\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] sv\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] sv\pews.html | Atributo 'item' injetado.
[CORRIGIDO] sv\prism.html | Atributo 'item' injetado.
[CORRIGIDO] sv\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] sv\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] sv\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] sv\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] sv\saps.html | Atributo 'item' injetado.
[CORRIGIDO] sv\sinan.html | Atributo 'item' injetado.
[CORRIGIDO] sv\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] sv\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] sv\vagasdeemprego.html | Atributo 'item' injetado.
[CORRIGIDO] sv\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] sv\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] id\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] id\apache.html | Atributo 'item' injetado.
[CORRIGIDO] id\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] id\asa.html | Atributo 'item' injetado.
[CORRIGIDO] id\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] id\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] id\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] id\berg.html | Atributo 'item' injetado.
[CORRIGIDO] id\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] id\bps.html | Atributo 'item' injetado.
[CORRIGIDO] id\braden.html | Atributo 'item' injetado.
[CORRIGIDO] id\cam.html | Atributo 'item' injetado.
[CORRIGIDO] id\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] id\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] id\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] id\cries.html | Atributo 'item' injetado.
[CORRIGIDO] id\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] id\downes.html | Atributo 'item' injetado.
[CORRIGIDO] id\downton.html | Atributo 'item' injetado.
[CORRIGIDO] id\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] id\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] id\fast.html | Atributo 'item' injetado.
[CORRIGIDO] id\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] id\four.html | Atributo 'item' injetado.
[CORRIGIDO] id\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] id\gds.html | Atributo 'item' injetado.
[CORRIGIDO] id\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] id\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] id\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] id\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] id\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] id\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] id\johns.html | Atributo 'item' injetado.
[CORRIGIDO] id\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] id\katz.html | Atributo 'item' injetado.
[CORRIGIDO] id\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] id\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] id\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] id\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] id\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] id\meows.html | Atributo 'item' injetado.
[CORRIGIDO] id\morse.html | Atributo 'item' injetado.
[CORRIGIDO] id\news.html | Atributo 'item' injetado.
[CORRIGIDO] id\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] id\nips.html | Atributo 'item' injetado.
[CORRIGIDO] id\norton.html | Atributo 'item' injetado.
[CORRIGIDO] id\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] id\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] id\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] id\pews.html | Atributo 'item' injetado.
[CORRIGIDO] id\prism.html | Atributo 'item' injetado.
[CORRIGIDO] id\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] id\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] id\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] id\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] id\saps.html | Atributo 'item' injetado.
[CORRIGIDO] id\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] id\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] vi\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] vi\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] vi\apache.html | Atributo 'item' injetado.
[CORRIGIDO] vi\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] vi\asa.html | Atributo 'item' injetado.
[CORRIGIDO] vi\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] vi\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] vi\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] vi\berg.html | Atributo 'item' injetado.
[CORRIGIDO] vi\bps.html | Atributo 'item' injetado.
[CORRIGIDO] vi\braden.html | Atributo 'item' injetado.
[CORRIGIDO] vi\calculadoravacina.html | Atributo 'item' injetado.
[CORRIGIDO] vi\cam.html | Atributo 'item' injetado.
[CORRIGIDO] vi\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] vi\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] vi\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] vi\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] vi\downton.html | Atributo 'item' injetado.
[CORRIGIDO] vi\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] vi\fast.html | Atributo 'item' injetado.
[CORRIGIDO] vi\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] vi\four.html | Atributo 'item' injetado.
[CORRIGIDO] vi\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] vi\gds.html | Atributo 'item' injetado.
[CORRIGIDO] vi\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] vi\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] vi\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] vi\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] vi\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] vi\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] vi\imc.html | Atributo 'item' injetado.
[CORRIGIDO] vi\johns.html | Atributo 'item' injetado.
[CORRIGIDO] vi\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] vi\katz.html | Atributo 'item' injetado.
[CORRIGIDO] vi\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] vi\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] vi\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] vi\lista-de-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] vi\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] vi\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] vi\meem.html | Atributo 'item' injetado.
[CORRIGIDO] vi\morse.html | Atributo 'item' injetado.
[CORRIGIDO] vi\news.html | Atributo 'item' injetado.
[CORRIGIDO] vi\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] vi\nips.html | Atributo 'item' injetado.
[CORRIGIDO] vi\norton.html | Atributo 'item' injetado.
[CORRIGIDO] vi\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] vi\painad.html | Atributo 'item' injetado.
[CORRIGIDO] vi\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] vi\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] vi\pews.html | Atributo 'item' injetado.
[CORRIGIDO] vi\prism.html | Atributo 'item' injetado.
[CORRIGIDO] vi\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] vi\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] vi\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] vi\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] vi\saps.html | Atributo 'item' injetado.
[CORRIGIDO] vi\sinan.html | Atributo 'item' injetado.
[CORRIGIDO] vi\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] vi\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] vi\vagasdeemprego.html | Atributo 'item' injetado.
[CORRIGIDO] vi\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] vi\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] uk\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] uk\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] uk\apache.html | Atributo 'item' injetado.
[CORRIGIDO] uk\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] uk\asa.html | Atributo 'item' injetado.
[CORRIGIDO] uk\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] uk\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] uk\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] uk\berg.html | Atributo 'item' injetado.
[CORRIGIDO] uk\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] uk\bps.html | Atributo 'item' injetado.
[CORRIGIDO] uk\braden.html | Atributo 'item' injetado.
[CORRIGIDO] uk\calculadoravacina.html | Atributo 'item' injetado.
[CORRIGIDO] uk\cam.html | Atributo 'item' injetado.
[CORRIGIDO] uk\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] uk\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] uk\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] uk\cries.html | Atributo 'item' injetado.
[CORRIGIDO] uk\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] uk\downes.html | Atributo 'item' injetado.
[CORRIGIDO] uk\downton.html | Atributo 'item' injetado.
[CORRIGIDO] uk\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] uk\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] uk\fast.html | Atributo 'item' injetado.
[CORRIGIDO] uk\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] uk\four.html | Atributo 'item' injetado.
[CORRIGIDO] uk\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] uk\gds.html | Atributo 'item' injetado.
[CORRIGIDO] uk\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] uk\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] uk\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] uk\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] uk\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] uk\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] uk\imc.html | Atributo 'item' injetado.
[CORRIGIDO] uk\johns.html | Atributo 'item' injetado.
[CORRIGIDO] uk\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] uk\katz.html | Atributo 'item' injetado.
[CORRIGIDO] uk\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] uk\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] uk\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] uk\lista-de-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] uk\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] uk\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] uk\meem.html | Atributo 'item' injetado.
[CORRIGIDO] uk\meows.html | Atributo 'item' injetado.
[CORRIGIDO] uk\morse.html | Atributo 'item' injetado.
[CORRIGIDO] uk\news.html | Atributo 'item' injetado.
[CORRIGIDO] uk\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] uk\nips.html | Atributo 'item' injetado.
[CORRIGIDO] uk\norton.html | Atributo 'item' injetado.
[CORRIGIDO] uk\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] uk\painad.html | Atributo 'item' injetado.
[CORRIGIDO] uk\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] uk\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] uk\pews.html | Atributo 'item' injetado.
[CORRIGIDO] uk\prism.html | Atributo 'item' injetado.
[CORRIGIDO] uk\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] uk\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] uk\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] uk\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] uk\saps.html | Atributo 'item' injetado.
[CORRIGIDO] uk\sinan.html | Atributo 'item' injetado.
[CORRIGIDO] uk\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] uk\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] uk\vagasdeemprego.html | Atributo 'item' injetado.
[CORRIGIDO] uk\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] uk\zarit.html | Atributo 'item' injetado.
