======================================================================
         RELATÓRIO DE REORDENAÇÃO DE HREFLANG (SEO INTERNACIONAL)     
======================================================================

Total de arquivos com ordem corrigida: 1331
Total de arquivos já corretos/intactos: 201

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[REORDENADO] .\geradordir.html | Nova ordem: pt-br, x-default
[REORDENADO] hi\cincinnati.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\cornell.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\cries.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\curb-65.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\downes.html | Nova ordem: hi, pt-br, en, es, fr, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\downton.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\elpo.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\escalanumerica.html | Nova ordem: hi, pt-br, es, fr, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\fale.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\fast.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\flacc.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\four.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\fugulin.html | Nova ordem: hi, pt-br, en, es, fr, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\gds.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\gestacional.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\glasgow.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\gosnell.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\gotejamento.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\hamilton.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\humpty.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\imc.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\impactodigital.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\index.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\johns.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\jouvet.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\katz.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\lachs.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\lanss.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\lawton.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\manchester.html | Nova ordem: hi, pt-br, es, fr, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\mapa-do-site.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\medicamentos.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\meem.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\meows.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\missao.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\morse.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\news.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\nihss.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\nips.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\norton.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\nossocompromisso.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\objetivo.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\ofras.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\painad.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\pelod.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\perroca.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\pews.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\politicadeacessibilidade.html | Nova ordem: hi, pt-br, en, es, fr, de, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\prism.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\qsofa.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\rancholosamigos.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\richmond.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\saps.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\silverman.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\sofa.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\tecnologiaverde.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\termos.html | Nova ordem: hi, pt-br, en, es, fr, de, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\tinetti.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\waterlow.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\zarit.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\aldrete.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\apache.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\apgar.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\asa.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\balancohidrico.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\ballard.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\barthel.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\berg.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\bishop.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\bps.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\braden.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\cam.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\capurro.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\cincinnati.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\cornell.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\cries.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\curb-65.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\downes.html | Nova ordem: zh, pt-br, en, es, fr, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\downton.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\elpo.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\escalanumerica.html | Nova ordem: zh, pt-br, es, fr, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\fale.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\fast.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\flacc.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\four.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\fugulin.html | Nova ordem: zh, pt-br, en, es, fr, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\gds.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\gestacional.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\glasgow.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\gosnell.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\gotejamento.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\hamilton.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\humpty.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\imc.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\impactodigital.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\index.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\johns.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\jouvet.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\katz.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\lachs.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\lanss.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\lawton.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\manchester.html | Nova ordem: zh, pt-br, es, fr, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\mapa-do-site.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\medicamentos.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\meem.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\meows.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\missao.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\morse.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\news.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\nihss.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\nips.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\norton.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\nossocompromisso.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\objetivo.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\ofras.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\painad.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\pelod.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\perroca.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\pews.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\politicadeacessibilidade.html | Nova ordem: zh, pt-br, en, es, fr, de, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\prism.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\qsofa.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\ramsay.html | Nova ordem: zh, pt-br, es, ja, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\rancholosamigos.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\richmond.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\saps.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\silverman.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\sofa.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\tecnologiaverde.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\termos.html | Nova ordem: zh, pt-br, en, es, fr, de, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\tinetti.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\waterlow.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] zh\zarit.html | Nova ordem: zh, pt-br, en, es, fr, de, it, ja, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\aldrete.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\apache.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\apgar.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\asa.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\balancohidrico.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\ballard.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\barthel.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\berg.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\bishop.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\bps.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\braden.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\cam.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\capurro.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\cincinnati.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\cornell.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\cries.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\curb-65.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\downes.html | Nova ordem: ar, pt-br, en, es, fr, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\downton.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\elpo.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\escalanumerica.html | Nova ordem: ar, pt-br, es, fr, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\fale.html | Nova ordem: ar, pt-br, en, es, fr, de, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\fast.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\flacc.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\four.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\fugulin.html | Nova ordem: ar, pt-br, en, es, fr, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\gds.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\gestacional.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\glasgow.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\gosnell.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\gotejamento.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\hamilton.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\humpty.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\imc.html | Nova ordem: ar, pt-br, en, es, fr, de, it, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] ar\impactodigital.html | Nova ordem: ar, pt-br, en, es, fr, de, ja, zh, hi, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
